Matemática,P Teoria,,1,,1,1,,1,
Matemática,Monitor,,1,,,,,,
Matemática,Monitor,,1,,1,,,1,
Matemática,Monitor,,,1,1,,,1,1
Matemática,Monitor,,,,,1,1,,
Matemática,Monitor,1,,,,,,,1
Matemática,P Teoria,1,1,1,1,1,1,1,1
Matemática,Monitor,,1,1,1,,,1,1
Matemática,Monitor,1,1,,,1,,,
Matemática,Monitor,1,1,1,1,,,1,1
Matemática,Monitor,,,1,1,,1,,
Matemática,Monitor,1,1,1,1,1,1,1,1
Matemática,P Exerc,1,1,1,1,1,1,,1
Matemática,Monitor,,1,,,,1,,
Matemática,Monitor,,,,,1,1,,
Matemática,P Exerc,1,1,1,1,1,1,,
Matemática,Monitor,1,1,1,1,1,1,,
Português,P Teoria,1,1,1,1,,,1,1
Português,P Teoria,1,1,1,1,,,,
Português,Monitor,1,1,1,1,1,1,1,1
Português,Monitor,,,1,1,1,1,,1
Química,P Exerc,,,,1,,1,,1
Química,P Teoria,1,1,,,1,1,,
Química,P Teoria,,,,,1,1,1,1
Química,Monitor,1,1,1,1,,,,
Química,Monitor,1,1,1,1,1,1,1,1
Química,P Exerc,1,1,1,1,,,,1
Química,Monitor,,1,,1,,,,1
Química,Monitor,,,,,,,1,1
Química,Monitor,1,1,1,1,1,1,,
Física,Monitor,,1,,1,,1,,
Física,P Exerc,1,1,1,1,,,,
Física,P Teoria,1,1,1,1,1,1,1,1
Física,P Exerc,,,1,,1,1,,1
Física,P Teoria,1,,1,,,,,
Física,Monitor,1,1,1,1,,1,,1
Física,Monitor,1,1,1,,1,1,1,
Física,Monitor,1,1,,,,1,,
Física,Monitor,,1,,1,,,,
Física,Monitor,,,1,1,,1,1,1
Física,Monitor,1,1,,,1,1,,1
Física,Monitor,,,1,1,,,,1
Física,Monitor,,,1,1,1,1,1,1
